cod_mpio,nom_mpio,dpto,tasa_prom,tasa_pico,pm25,poblacion,indice_vulnerabilidad,nivel_vulnerabilidad
5425,MACEO,ANTIOQUIA,48.12886750813914,244.76059354443936,13.159560643113306,8495.0,6.92,Alto
15185,CHITARAQUE,BOYACÁ,30.256084394587358,75.50018875047188,14.687246610411117,6038.0,6.92,Alto
81220,CRAVO NORTE,ARAUCA,30.45320400003257,31.347962382445143,25.23333333333333,4329.0,6.91,Alto
91405,LA CHORRERA,AMAZONAS,32.49087910251212,74.1839762611276,14.687246610411117,4102.0,6.9,Alto
68855,VALLE DE SAN JOSÉ,SANTANDER,42.05255185359165,112.48593925759282,13.518945628712185,6269.0,6.9,Alto
94887,PANA PANA,GUAINÍA,38.179390184920486,57.686760888376114,14.687246610411117,3579.0,6.89,Alto
70230,CHALÁN,SUCRE,32.40444657138591,67.93478260869566,14.687246610411117,4659.0,6.89,Alto
50245,EL CALVARIO,META,45.004500450045,45.004500450045,14.687246610411117,2222.0,6.89,Alto
20250,EL PASO,CESAR,13.121619077287624,59.488399762046406,16.843125,41378.0,6.89,Alto
73504,ORTEGA,TOLIMA,15.7705711822323,93.2719810968785,14.687246610411117,34428.0,6.88,Alto
41801,TERUEL,HUILA,24.178108755924157,89.69615427738536,14.687246610411117,8919.0,6.87,Alto
50686,SAN JUANITO,META,44.05286343612335,44.05286343612335,14.687246610411117,2270.0,6.86,Alto
13140,CALAMAR,BOLÍVAR,14.720285371879699,61.04260774020266,16.05,24573.0,6.85,Alto
54385,LA ESPERANZA,NORTE DE SANTANDER,16.17893210502249,56.58852061438966,30.71875,12736.0,6.84,Alto
5315,GUADALUPE,ANTIOQUIA,46.48995456367872,268.81720430107526,13.159560643113306,6797.0,6.83,Alto
20310,GONZÁLEZ,CESAR,42.15642513514854,112.83043197936814,13.316487459299958,6204.0,6.82,Alto
54377,LABATECA,NORTE DE SANTANDER,23.707028966289208,33.909799932180405,30.71875,5911.0,6.81,Alto
15580,QUÍPAMA,BOYACÁ,24.830407068533283,78.36990595611285,14.687246610411117,7579.0,6.81,Alto
41132,CAMPOALEGRE,HUILA,16.54868586440186,60.15296038497895,14.687246610411117,34911.0,6.8,Alto
41797,TESALIA,HUILA,21.47535254707805,74.71448393638595,14.687246610411117,11194.0,6.79,Alto
15480,MUZO,BOYACÁ,23.45964522613866,79.26622126599479,14.687246610411117,8831.0,6.78,Alto
73270,FALAN,TOLIMA,21.92594679740391,87.070091423596,14.687246610411117,9196.0,6.78,Alto
68770,SUAITA,SANTANDER,30.644765139951616,109.93403957625424,13.518945628712185,10414.0,6.78,Alto
54398,LA PLAYA,NORTE DE SANTANDER,18.371607732325785,46.69624095260332,30.71875,8566.0,6.78,Alto
47460,NUEVA GRANADA,MAGDALENA,19.480423384539066,118.3151916706105,14.069054054054057,21612.0,6.77,Alto
15507,OTANCHE,BOYACÁ,22.791594772642572,65.44502617801048,14.687246610411117,10696.0,6.77,Alto
73067,ATACO,TOLIMA,17.15517340994972,74.50258567797353,14.687246610411117,22818.0,6.76,Alto
73616,RIOBLANCO,TOLIMA,17.087658894299082,70.42545258709971,14.687246610411117,24244.0,6.76,Alto
70702,SAN JUAN DE BETULIA,SUCRE,17.840011801850164,119.09487892020644,14.687246610411117,13947.0,6.76,Alto
68533,PÁRAMO,SANTANDER,35.62320243086078,163.01816488122964,13.518945628712185,4795.0,6.76,Alto
73563,PRADO,TOLIMA,20.515760945366186,107.68609503297886,14.687246610411117,8694.0,6.76,Alto
54418,LOURDES,NORTE DE SANTANDER,26.331234053310247,29.84183825723665,30.71875,4382.0,6.76,Alto
68327,GÜEPSA,SANTANDER,41.89359028068705,108.43046896177825,13.518945628712185,3689.0,6.75,Alto
15380,LA CAPILLA,BOYACÁ,41.59733777038269,41.59733777038269,14.687246610411117,2404.0,6.75,Alto
25368,JERUSALÉN,CUNDINAMARCA,56.35216983901194,112.78195488721803,13.23243093922652,2664.0,6.74,Alto
54871,VILLA CARO,NORTE DE SANTANDER,21.004399499091022,38.18251240931654,30.71875,5238.0,6.72,Alto
81065,ARAUQUITA,ARAUCA,9.120639889941387,93.07303906740816,25.23333333333333,59800.0,6.72,Alto
13074,BARRANCO DE LOBA,BOLÍVAR,14.634421821784208,62.82722513089005,16.05,19100.0,6.71,Alto
70221,COVEÑAS,SUCRE,15.948113863374118,103.0715316429602,14.687246610411117,20597.0,6.7,Alto
27580,RÍO IRÓ,CHOCÓ,21.181308836019458,71.8132854578097,14.687246610411117,10396.0,6.7,Alto
15533,PAYA,BOYACÁ,39.856516540454365,39.856516540454365,14.687246610411117,2509.0,6.7,Alto
15109,BUENAVISTA,BOYACÁ,26.694886463253805,69.71070059254096,14.687246610411117,5751.0,6.7,Alto
17495,NORCASIA,CALDAS,31.756004315897467,80.97165991902834,14.211764705882352,6228.0,6.69,Alto
13688,SANTA ROSA DEL SUR,BOLÍVAR,10.965964598350615,71.14273010226768,16.05,46017.0,6.68,Alto
8849,USIACURÍ,ATLÁNTICO,19.178334628108512,31.486146095717885,16.887182061579654,13266.0,6.68,Alto
47058,ARIGUANÍ,MAGDALENA,17.188766681212858,95.30543855873582,14.069054054054057,32723.0,6.68,Alto
73520,PALOCABILDO,TOLIMA,21.711903832176613,66.28369421122405,14.687246610411117,9648.0,6.67,Alto
25530,PARATEBUENO,CUNDINAMARCA,32.187002636320564,140.39566049776644,13.23243093922652,9245.0,6.66,Alto
54874,VILLA DEL ROSARIO,NORTE DE SANTANDER,9.66522361489221,53.80768500348167,30.71875,112536.0,6.66,Alto
13657,SAN JUAN NEPOMUCENO,BOLÍVAR,11.738369768095101,59.02316659288771,16.05,39191.0,6.63,Alto
25335,GUAYABETAL,CUNDINAMARCA,38.96006739605565,119.68880909634947,13.23243093922652,5013.0,6.62,Alto
47318,GUAMAL,MAGDALENA,18.605317184195894,70.72886091169502,14.069054054054057,29069.0,6.62,Alto
5895,ZARAGOZA,ANTIOQUIA,28.65318588403474,90.12539184952978,8.0,32265.0,6.61,Alto
68780,SURATÁ,SANTANDER,36.474345374092266,94.75679090334808,13.518945628712185,4042.0,6.59,Alto
13894,ZAMBRANO,BOLÍVAR,15.785274645953665,58.71005619391093,16.05,12546.0,6.58,Alto
54800,TEORAMA,NORTE DE SANTANDER,11.102620114507696,64.15465548950002,30.71875,23381.0,6.57,Alto
68160,CEPITÁ,SANTANDER,55.43237250554324,55.43237250554324,13.518945628712185,1804.0,6.55,Alto
