cod_mpio,nom_mpio,enfermedad,fecha,casos_predichos,nivel_riesgo
13442,MARÍA LA BAJA,Dengue,2021-12-27,3.541325450711068,Bajo
13458,MONTECRISTO,Dengue,2021-12-13,1.3627466766421543,Bajo
13458,MONTECRISTO,Malaria,2021-12-27,3.7669875970860707,Bajo
13468,SANTA CRUZ DE MOMPOX,Dengue,2021-12-20,4.346286164238558,Bajo
13473,MORALES,Dengue,2021-11-15,1.4355085999186366,Bajo
13473,MORALES,Malaria,2021-12-27,1.3058633830732704,Bajo
13490,NOROSÍ,Dengue,2021-12-27,1.3398482838475165,Bajo
13490,NOROSÍ,Malaria,2021-12-27,2.05558151682817,Bajo
13549,PINILLOS,Dengue,2021-11-29,1.6935486409453464,Bajo
13549,PINILLOS,Malaria,2021-11-29,1.1474524761184703,Bajo
13580,REGIDOR,Dengue,2021-12-20,1.3030892541154118,Bajo
13600,RÍO VIEJO,Dengue,2021-10-25,2.134281386269954,Bajo
13600,RÍO VIEJO,Malaria,2021-12-20,2.3255618020675013,Bajo
13620,SAN CRISTÓBAL,Dengue,2021-12-20,1.5721306985907662,Bajo
13647,SAN ESTANISLAO,Dengue,2021-12-27,1.4473421459438454,Bajo
13650,SAN FERNANDO,Dengue,2021-12-06,1.3275530210239364,Bajo
13654,SAN JACINTO,Dengue,2021-11-15,1.8097643515419226,Bajo
13655,SAN JACINTO DEL CAUCA,Dengue,2021-12-20,1.3014561275649221,Bajo
13655,SAN JACINTO DEL CAUCA,Malaria,2021-06-07,1.4293567026749523,Bajo
13657,SAN JUAN NEPOMUCENO,Dengue,2021-12-27,3.952841715520216,Bajo
13667,SAN MARTÍN DE LOBA,Dengue,2021-12-13,1.7322806603375462,Bajo
13670,SAN PABLO,Dengue,2021-10-25,1.574936694033724,Bajo
13670,SAN PABLO,Malaria,2021-12-20,3.0742131973665394,Bajo
13673,SANTA CATALINA,Dengue,2021-11-08,1.3835154153710811,Bajo
13683,SANTA ROSA,Dengue,2021-12-20,2.6897957955524165,Bajo
13683,SANTA ROSA,Malaria,2021-12-06,1.1616442494633228,Bajo
13688,SANTA ROSA DEL SUR,Dengue,2021-12-27,1.6262105541387726,Bajo
13688,SANTA ROSA DEL SUR,Malaria,2021-12-27,1.5333782314739848,Bajo
13744,SIMITÍ,Dengue,2021-12-20,1.4891054800493837,Bajo
13744,SIMITÍ,Malaria,2021-12-27,3.635360537201418,Bajo
13760,SOPLAVIENTO,Dengue,2021-12-20,1.2761944167068608,Bajo
13810,TIQUISIO,Dengue,2021-12-06,2.0701246631600756,Bajo
13810,TIQUISIO,Malaria,2021-12-27,1.8054434494148968,Bajo
13836,TURBACO,Dengue,2021-12-27,5.777595273738602,Bajo
13838,TURBANÁ,Dengue,2021-12-20,1.533607995883885,Bajo
13873,VILLANUEVA,Dengue,2021-12-27,2.091353932620613,Bajo
13894,ZAMBRANO,Dengue,2021-12-27,1.414273767590318,Bajo
15109,BUENAVISTA,Dengue,2021-10-11,1.4722215387565178,Bajo
15109,BUENAVISTA,Malaria,2021-11-15,1.1178574253163478,Bajo
15185,CHITARAQUE,Dengue,2021-11-29,2.2150129235526403,Bajo
15223,CUBARÁ,Dengue,2021-12-13,1.495996766940205,Bajo
15377,LABRANZAGRANDE,Dengue,2021-12-27,1.6097302198141947,Bajo
15401,LA VICTORIA,Dengue,2021-12-27,1.3126784972554346,Bajo
15442,MARIPÍ,Dengue,2021-12-06,1.4240650434317788,Bajo
15455,MIRAFLORES,Dengue,2021-07-19,1.3164361603316324,Bajo
15455,MIRAFLORES,Malaria,2021-12-20,1.508004102805129,Bajo
15469,MONIQUIRÁ,Dengue,2021-08-30,1.7338916293941806,Bajo
15480,MUZO,Dengue,2021-12-20,1.4714793331017733,Bajo
15507,OTANCHE,Dengue,2021-11-08,1.712425003985722,Bajo
15514,PÁEZ,Dengue,2021-11-29,1.1415149042031754,Bajo
15531,PAUNA,Dengue,2021-12-27,2.0168953156397764,Bajo
15572,PUERTO BOYACÁ,Dengue,2021-12-06,1.6101688784385502,Bajo
15580,QUÍPAMA,Dengue,2021-12-13,1.2310644096927357,Bajo
