cod_mpio,municipio,enfermedad,casos_predichos,indice_vulnerabilidad,vulnerabilidad,nivel_alerta,explicacion
50006,ACACÍAS,Malaria,1.193772406990703,7.53,Alto,MEDIO,Municipio en MEDIO: se prevén 1.19 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad alta (7.5/10).
50110,BARRANCA DE UPÍA,Dengue,1.4821660836873702,7.97,Alto,MEDIO,Municipio en MEDIO: se prevén 1.48 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (8.0/10).
50124,CABUYARO,Dengue,1.6009028795392823,7.89,Alto,MEDIO,Municipio en MEDIO: se prevén 1.60 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.9/10).
50150,CASTILLA LA NUEVA,Dengue,1.6499615337706794,8.01,Alto,MEDIO,Municipio en MEDIO: se prevén 1.65 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (8.0/10).
50223,CUBARRAL,Dengue,1.5987868938850496,7.35,Alto,MEDIO,Municipio en MEDIO: se prevén 1.60 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.3/10).
50226,CUMARAL,Dengue,1.5341247029895992,7.77,Alto,MEDIO,Municipio en MEDIO: se prevén 1.53 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.8/10).
50251,EL CASTILLO,Dengue,1.8273912067221367,7.68,Alto,MEDIO,Municipio en MEDIO: se prevén 1.83 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.7/10).
50270,EL DORADO,Dengue,1.488095284009483,7.76,Alto,MEDIO,Municipio en MEDIO: se prevén 1.49 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.8/10).
50287,FUENTE DE ORO,Dengue,1.5352900908458258,7.46,Alto,MEDIO,Municipio en MEDIO: se prevén 1.54 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.5/10).
50325,MAPIRIPÁN,Dengue,1.303687656219803,7.68,Alto,MEDIO,Municipio en MEDIO: se prevén 1.30 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.7/10).
50325,MAPIRIPÁN,Malaria,4.373708817447507,7.68,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 4.37 casos de Malaria (predicción Media) y la zona tiene vulnerabilidad alta (7.7/10).
50350,LA MACARENA,Dengue,1.5920496183474229,4.8,Medio,BAJO,Municipio en BAJO: se prevén 1.59 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad media (4.8/10).
50400,LEJANÍAS,Dengue,1.5807390119929163,7.82,Alto,MEDIO,Municipio en MEDIO: se prevén 1.58 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.8/10).
